,Rk,NAME,Pos,Age,TEAM_Regular,GP_Regular,MPG_Regular,FG,FGA,FG%,3P,3PA_Regular,3P%_Regular,2P,2PA_Regular,2P%_Regular,eFG%_Regular,FT,FTA_Regular,FT%_Regular,ORB,RPG_Regular,TRB,APG_Regular,SPG_Regular,BPG_Regular,TPG_Regular,PF,PPG_Regular,RANK,TEAM_Playoffs,POS,AGE,GP_Playoffs,MPG_Playoffs,USG%,TO%,FTA_Playoffs,FT%_Playoffs,2PA_Playoffs,2P%_Playoffs,3PA_Playoffs,3P%_Playoffs,eFG%_Playoffs,TS%,PPG_Playoffs,RPG_Playoffs,APG_Playoffs,SPG_Playoffs,BPG_Playoffs,TPG_Playoffs,P+R,P+A,P+R+A,VI,ORtg,DRtg
79,230,Caleb Houstan,SF,21,ORL,59,13.8,1.4,3.5,0.388,1.2,3.3,0.373,0.1,0.2,0.615,0.563,0.4,0.4,0.808,0.5,0.9,1.4,0.5,0.3,0.1,0.3,1.0,4.3,182,Orl,G,21.4,3,4.7,6.3,0.0,0,0.0,0,0.0,2,0.5,0.75,0.75,1.0,0.7,0.0,0.0,0.0,0.0,1.7,1.0,1.7,0.0,158.0,118.0
80,231,Jett Howard,SF,20,ORL,18,3.7,0.6,1.7,0.333,0.4,1.4,0.28,0.2,0.3,0.6,0.45,0.1,0.2,0.5,0.1,0.3,0.4,0.3,0.1,0.1,0.2,0.2,1.6,149,Orl,G,20.7,2,4.9,22.4,40.0,0,0.0,2,0.5,1,1.0,0.833,0.833,2.5,0.5,0.5,0.0,0.0,1.0,3.0,3.0,3.5,7.0,91.9,106.0
81,236,Bones Hyland,PG,23,LAC,37,14.6,2.6,6.8,0.386,1.2,3.6,0.326,1.4,3.1,0.457,0.474,0.5,0.6,0.783,0.1,1.4,1.5,2.5,0.7,0.1,1.2,1.4,6.9,131,Lac,G,23.7,3,4.0,37.4,11.8,4,1.0,2,1.0,5,0.2,0.5,0.628,3.7,0.7,1.3,0.0,0.0,0.3,4.3,5.0,5.7,15.0,134.2,120.4
82,237,Joe Ingles,SF,36,ORL,68,17.2,1.5,3.3,0.436,1.0,2.4,0.435,0.4,1.0,0.439,0.59,0.4,0.5,0.824,0.3,1.8,2.1,3.0,0.6,0.1,1.0,1.3,4.4,164,Orl,F-G,36.7,7,9.6,8.4,0.0,2,0.5,5,0.4,7,0.286,0.417,0.427,1.6,1.9,1.7,0.4,0.0,0.0,3.4,3.3,5.1,7.2,129.3,107.9
83,238,Brandon Ingram,SF,26,NOP,64,32.9,7.8,15.9,0.492,1.3,3.8,0.355,6.5,12.1,0.534,0.534,3.8,4.8,0.801,0.7,4.4,5.1,5.7,0.8,0.6,2.5,2.3,20.8,50,Nor,F,26.8,4,36.4,21.8,14.0,19,0.895,47,0.362,8,0.25,0.364,0.45,14.3,4.5,3.3,1.0,1.3,2.3,18.8,17.5,22.0,6.6,92.4,111.4
84,239,Kyrie Irving,SG,31,DAL,58,35.0,9.7,19.5,0.497,3.0,7.3,0.411,6.7,12.2,0.548,0.573,3.3,3.6,0.905,0.8,4.2,5.0,5.2,1.3,0.5,1.8,1.9,25.6,18,Dal,G,32.2,20,40.4,25.0,11.9,71,0.845,243,0.502,121,0.405,0.537,0.571,22.6,3.7,4.9,1.1,0.4,2.5,26.3,27.5,31.2,7.4,112.3,112.7
85,240,Jonathan Isaac,PF,26,ORL,58,15.8,2.5,4.9,0.51,0.7,1.9,0.375,1.8,3.0,0.598,0.584,1.0,1.4,0.72,1.3,3.2,4.5,0.5,0.7,1.2,0.5,1.1,6.8,100,Orl,F,26.7,7,21.0,13.1,9.2,2,1.0,12,0.5,27,0.37,0.538,0.552,6.3,4.9,0.4,0.7,1.3,0.6,11.1,6.7,11.6,4.4,112.8,108.1
86,242,Andre Jackson Jr.,SG,22,MIL,57,10.0,0.9,1.8,0.5,0.3,0.8,0.37,0.6,0.9,0.611,0.585,0.1,0.2,0.727,0.8,1.2,2.0,0.9,0.3,0.1,0.5,1.6,2.2,150,Mil,G,22.6,5,11.9,10.8,21.4,0,0.0,5,0.6,6,0.333,0.545,0.545,2.4,2.2,2.0,1.0,0.2,0.6,4.6,4.4,6.6,7.4,123.9,98.8
87,244,Isaiah Jackson,C,22,IND,59,13.1,2.6,3.9,0.665,0.0,0.1,0.0,2.6,3.9,0.677,0.665,1.2,1.7,0.716,1.6,2.4,4.0,0.8,0.6,1.0,0.7,2.3,6.5,128,Ind,F,22.4,15,10.2,16.2,8.5,18,0.611,43,0.535,0,0.0,0.535,0.56,3.8,3.2,0.5,0.2,0.9,0.3,7.0,4.3,7.5,7.2,124.9,105.3
88,248,Reggie Jackson,PG,33,DEN,82,22.2,4.0,9.2,0.431,1.2,3.5,0.359,2.7,5.8,0.475,0.499,1.0,1.2,0.806,0.4,1.5,1.9,3.8,0.5,0.2,1.3,1.8,10.2,133,Den,G,34.2,12,9.8,22.3,14.2,2,1.0,25,0.32,23,0.348,0.417,0.43,3.5,1.3,1.0,0.2,0.1,0.7,4.8,4.5,5.8,6.8,87.0,107.6
89,250,LeBron James,PF,39,LAL,71,35.3,9.6,17.9,0.54,2.1,5.1,0.41,7.5,12.8,0.592,0.599,4.3,5.7,0.75,0.9,6.4,7.3,8.3,1.3,0.5,3.5,1.1,25.7,9,Lal,F,39.5,5,40.8,29.0,16.1,23,0.739,73,0.63,26,0.385,0.616,0.637,27.8,6.8,8.8,2.4,1.0,3.8,34.6,36.6,43.4,11.6,118.5,110.4
90,251,Jaime Jaquez Jr.,SF,22,MIA,75,28.2,4.5,9.3,0.489,0.9,2.7,0.322,3.7,6.6,0.558,0.536,1.9,2.3,0.811,1.1,2.7,3.8,2.6,1.0,0.3,1.5,2.2,11.9,58,Mia,G,23.3,4,30.6,24.8,11.8,7,0.857,39,0.462,13,0.231,0.433,0.463,12.8,3.3,3.0,0.8,0.5,1.8,16.0,15.8,19.0,6.6,93.1,111.7
91,253,DaQuan Jeffries,SG,26,NYK,17,2.7,0.4,1.0,0.353,0.1,0.6,0.2,0.2,0.4,0.571,0.412,0.0,0.1,0.0,0.0,0.3,0.3,0.3,0.0,0.1,0.2,0.1,0.8,155,Nyk,G-F,26.8,4,5.0,17.5,0.0,0,0.0,3,0.333,5,0.4,0.5,0.5,2.0,1.0,0.0,0.3,0.0,0.0,3.0,2.0,3.0,0.0,111.6,104.8
92,256,Isaiah Joe,SG,24,OKC,78,18.5,2.8,6.2,0.458,1.9,4.5,0.416,1.0,1.7,0.568,0.609,0.6,0.7,0.865,0.4,1.9,2.3,1.3,0.6,0.3,0.6,1.1,8.2,95,Okc,G,24.9,10,17.3,15.5,8.5,0,0.0,15,0.533,39,0.41,0.593,0.593,6.4,2.2,1.0,0.5,0.0,0.5,8.6,7.4,9.6,5.6,114.6,111.4
93,259,James Johnson,PF,36,IND,9,5.2,0.3,1.1,0.3,0.0,0.2,0.0,0.3,0.9,0.375,0.3,0.2,0.2,1.0,0.1,0.3,0.4,0.9,0.6,0.1,0.6,1.0,0.9,180,Ind,F,37.3,1,1.0,85.0,82.0,2,0.5,0,0.0,0,0.0,0.0,0.568,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
94,265,Damian Jones,C,28,CLE,39,6.9,1.1,1.8,0.597,0.1,0.4,0.214,1.0,1.5,0.69,0.618,0.5,0.5,0.857,0.5,1.1,1.6,0.4,0.2,0.3,0.3,0.7,2.7,198,Cle,C,29.0,2,4.6,10.1,100.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,2.0,0.0,0.0,119.5
95,266,Derrick Jones Jr.,SF,26,DAL,76,23.5,3.1,6.5,0.483,1.1,3.1,0.343,2.1,3.4,0.613,0.566,1.3,1.8,0.713,1.1,2.2,3.3,1.0,0.7,0.7,0.9,1.6,8.6,75,Dal,F,27.3,20,30.4,13.3,10.8,28,0.75,89,0.551,59,0.373,0.554,0.577,9.3,3.7,1.4,0.6,1.0,0.9,13.0,10.6,14.3,4.8,117.0,112.0
96,267,Herbert Jones,SF,25,NOP,76,30.5,3.9,7.7,0.498,1.5,3.6,0.418,2.4,4.1,0.568,0.595,1.8,2.1,0.867,1.0,2.6,3.6,2.6,1.4,0.8,1.2,2.9,11.0,56,Nor,G,25.7,4,35.2,17.8,21.0,12,1.0,17,0.471,24,0.333,0.488,0.562,13.0,5.0,2.5,1.3,0.3,2.8,18.0,15.5,20.5,6.2,103.7,105.7
97,271,DeAndre Jordan,C,35,DEN,36,11.0,1.6,2.6,0.624,0.0,0.0,0.0,1.6,2.6,0.624,0.624,0.7,1.5,0.491,1.5,2.9,4.4,0.7,0.2,0.4,0.6,1.6,3.9,154,Den,C,35.9,2,6.6,10.1,0.0,2,1.0,2,0.5,0,0.0,0.5,0.694,2.0,1.5,0.0,0.5,0.5,0.0,3.5,2.0,3.5,0.0,158.9,79.2
98,279,Maxi Kleber,C,32,DAL,43,20.3,1.5,3.4,0.432,0.7,2.1,0.348,0.7,1.3,0.574,0.541,0.8,1.1,0.702,0.7,2.6,3.3,1.6,0.4,0.7,0.7,1.8,4.4,129,Dal,C,32.4,11,16.6,10.2,12.7,4,0.5,9,0.333,25,0.44,0.574,0.573,3.7,1.9,1.0,0.2,0.4,0.5,5.6,4.7,6.6,4.6,112.7,109.9
