,Rk,NAME,Pos,Age,TEAM_Regular,GP_Regular,MPG_Regular,FG,FGA,FG%,3P,3PA_Regular,3P%_Regular,2P,2PA_Regular,2P%_Regular,eFG%_Regular,FT,FTA_Regular,FT%_Regular,ORB,RPG_Regular,TRB,APG_Regular,SPG_Regular,BPG_Regular,TPG_Regular,PF,PPG_Regular,RANK,TEAM_Playoffs,POS,AGE,GP_Playoffs,MPG_Playoffs,USG%,TO%,FTA_Playoffs,FT%_Playoffs,2PA_Playoffs,2P%_Playoffs,3PA_Playoffs,3P%_Playoffs,eFG%_Playoffs,TS%,PPG_Playoffs,RPG_Playoffs,APG_Playoffs,SPG_Playoffs,BPG_Playoffs,TPG_Playoffs,P+R,P+A,P+R+A,VI,ORtg,DRtg
122,337,Sam Merrill,SG,27,CLE,61,17.5,2.6,6.4,0.402,2.3,5.8,0.404,0.2,0.6,0.385,0.584,0.4,0.5,0.929,0.4,1.6,2.0,1.8,0.3,0.1,0.3,1.2,8.0,137,Cle,G,28.1,10,12.5,11.3,0.0,3,1.0,2,0.0,27,0.37,0.517,0.544,3.3,1.2,0.9,0.0,0.0,0.0,4.5,4.2,5.4,4.9,125.7,112.3
123,340,Khris Middleton,SF,32,MIL,55,27.0,5.8,11.7,0.493,1.7,4.5,0.381,4.1,7.2,0.563,0.566,1.8,2.2,0.833,0.7,3.9,4.7,5.3,0.9,0.3,2.3,2.6,15.1,17,Mil,F,32.8,6,38.3,28.2,10.9,30,0.9,83,0.53,31,0.355,0.531,0.582,24.7,9.2,4.7,0.5,0.2,2.3,33.8,29.3,38.5,10.7,117.0,107.1
124,343,Leonard Miller,SF,20,MIN,17,3.1,0.8,1.2,0.65,0.1,0.3,0.4,0.6,0.9,0.733,0.7,0.1,0.1,0.5,0.3,0.9,1.2,0.5,0.1,0.1,0.1,0.3,1.7,205,Min,F,20.5,3,2.3,6.7,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.3,0.0,1.3,0.0,0.0,0.0
125,345,Patty Mills,PG,35,TOT,32,13.0,1.4,4.1,0.351,0.8,2.7,0.276,0.7,1.4,0.5,0.443,0.3,0.3,1.0,0.3,0.8,1.1,1.1,0.6,0.0,0.5,1.0,4.0,106,Mia,G,35.8,3,17.2,18.8,5.5,4,0.75,6,0.5,11,0.273,0.441,0.48,6.0,0.3,1.0,0.3,0.0,0.3,6.3,7.0,7.3,2.8,102.8,115.7
126,346,Shake Milton,SG,27,TOT,48,12.1,1.6,4.1,0.405,0.4,1.3,0.281,1.3,2.7,0.466,0.451,0.8,1.0,0.816,0.3,1.3,1.6,1.3,0.4,0.1,0.6,1.1,4.5,175,Nyk,G-F,27.7,4,5.5,17.2,0.0,6,0.833,4,0.0,2,0.0,0.0,0.289,1.3,0.3,0.5,0.3,0.0,0.0,1.5,1.8,2.0,4.2,84.6,119.5
127,348,Josh Minott,SF,21,MIN,32,2.8,0.5,1.1,0.472,0.1,0.3,0.4,0.4,0.8,0.5,0.528,0.4,0.4,0.857,0.1,0.4,0.5,0.3,0.2,0.2,0.1,0.3,1.6,177,Min,F,21.5,5,3.6,22.6,0.0,0,0.0,4,0.0,5,0.4,0.333,0.333,1.2,1.0,0.6,0.0,0.0,0.0,2.2,1.8,2.8,10.0,0.0,0.0
128,350,Donovan Mitchell,SG,27,CLE,55,35.3,9.1,19.8,0.462,3.3,9.0,0.368,5.8,10.8,0.539,0.545,5.0,5.8,0.865,0.8,4.3,5.1,6.1,1.8,0.5,2.8,2.1,26.6,6,Cle,G,27.8,10,38.2,34.3,11.1,65,0.815,143,0.545,82,0.354,0.54,0.584,29.6,5.4,4.7,1.3,0.3,2.8,35.0,34.3,39.7,9.5,111.5,108.3
129,351,Evan Mobley,PF,22,CLE,50,30.6,6.4,11.0,0.58,0.4,1.2,0.373,6.0,9.9,0.604,0.6,2.5,3.4,0.719,2.2,7.1,9.4,3.2,0.9,1.4,1.8,2.7,15.7,39,Cle,C,23.0,12,35.2,20.3,13.1,36,0.694,128,0.594,18,0.278,0.572,0.593,16.0,9.3,2.3,0.8,2.2,1.8,25.3,18.3,27.6,7.9,114.5,106.3
130,357,Wendell Moore Jr.,SG,22,MIN,25,3.0,0.4,0.7,0.5,0.0,0.2,0.0,0.4,0.5,0.75,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.2,0.0,0.2,0.2,0.7,176,Min,G,22.7,6,3.1,19.7,12.5,0,0.0,3,0.667,4,0.25,0.5,0.5,1.2,0.3,0.3,0.2,0.0,0.2,1.5,1.5,1.8,6.1,0.0,0.0
131,361,Monte Morris,PG,28,TOT,33,14.4,1.9,4.6,0.405,0.8,2.1,0.386,1.1,2.5,0.422,0.493,0.4,0.6,0.684,0.2,1.5,1.7,2.1,0.6,0.3,0.2,0.4,5.0,153,Min,G,29.0,9,7.4,21.1,0.0,2,1.0,16,0.5,14,0.071,0.317,0.34,2.3,0.7,1.0,0.2,0.1,0.0,3.0,3.3,4.0,6.3,90.1,105.5
132,362,Trey Murphy III,SF,23,NOP,57,29.6,4.8,10.9,0.443,3.0,7.8,0.38,1.9,3.1,0.602,0.579,2.2,2.6,0.815,0.7,4.2,4.9,2.2,0.9,0.5,0.6,1.2,14.8,65,Nor,F,24.0,4,42.0,14.6,14.3,0,0.0,18,0.444,30,0.333,0.479,0.479,11.5,6.5,2.3,1.3,1.5,2.0,18.0,13.8,20.3,5.3,91.8,108.8
133,364,Jamal Murray,PG,26,DEN,59,31.5,8.0,16.7,0.481,2.5,5.8,0.425,5.6,10.9,0.51,0.554,2.7,3.1,0.853,0.7,3.4,4.1,6.5,1.0,0.7,2.1,1.8,21.2,22,Den,G,27.3,12,38.5,29.0,11.1,26,0.923,176,0.438,73,0.315,0.448,0.474,20.6,4.3,5.6,0.8,0.5,2.6,24.9,26.2,30.5,8.2,98.1,112.6
134,368,Svi Mykhailiuk,SF,26,BOS,41,10.1,1.4,3.3,0.416,1.0,2.6,0.389,0.4,0.7,0.517,0.569,0.1,0.2,0.667,0.3,1.0,1.2,0.9,0.3,0.0,0.3,0.5,4.0,186,Bos,G-F,27.0,6,3.5,15.3,28.6,0,0.0,1,1.0,4,0.25,0.5,0.5,0.8,0.5,0.2,0.2,0.0,0.3,1.3,1.0,1.5,4.9,0.0,0.0
135,369,Larry Nance Jr.,C,31,NOP,61,19.9,2.3,4.0,0.573,0.4,1.1,0.415,1.8,2.9,0.631,0.629,0.8,1.0,0.77,1.5,3.5,5.0,1.9,1.0,0.3,0.8,1.6,5.7,99,Nor,F-C,31.4,4,21.1,13.8,28.8,6,0.667,13,0.692,4,0.25,0.618,0.636,6.3,8.3,1.8,0.5,0.0,1.8,14.5,8.0,16.3,8.6,120.0,103.1
136,371,Andrew Nembhard,PG,24,IND,68,25.0,3.8,7.7,0.498,0.9,2.5,0.357,2.9,5.2,0.567,0.557,0.7,0.8,0.804,0.5,1.5,2.1,4.1,0.9,0.1,1.5,2.1,9.2,44,Ind,G-F,24.4,17,32.6,17.6,11.2,26,0.769,122,0.598,60,0.483,0.64,0.654,14.9,3.3,5.5,0.4,0.2,1.4,18.2,20.4,23.7,7.9,131.0,115.0
137,372,Aaron Nesmith,SF,24,IND,72,27.7,4.4,8.8,0.496,1.9,4.6,0.419,2.4,4.2,0.581,0.606,1.5,1.9,0.781,0.9,2.9,3.8,1.5,0.9,0.7,0.9,3.3,12.2,70,Ind,G-F,24.7,17,32.9,14.6,14.0,37,0.919,62,0.629,79,0.278,0.511,0.566,10.5,4.9,2.2,0.6,0.5,1.4,15.4,12.6,17.6,5.9,112.1,111.4
138,373,Georges Niang,PF,30,CLE,82,22.3,3.5,7.7,0.449,1.8,4.8,0.376,1.6,2.9,0.572,0.567,0.6,0.7,0.85,0.3,3.1,3.4,1.2,0.4,0.2,0.9,2.3,9.4,144,Cle,F,31.0,10,12.1,19.8,14.5,8,0.875,18,0.333,23,0.13,0.256,0.314,2.8,1.2,0.4,0.4,0.2,0.7,4.0,3.2,4.4,3.6,66.2,101.6
139,375,Zeke Nnaji,PF,23,DEN,58,9.9,1.2,2.6,0.463,0.1,0.4,0.261,1.1,2.2,0.5,0.483,0.7,1.1,0.677,1.1,1.1,2.2,0.6,0.3,0.7,0.5,1.4,3.2,162,Den,F-C,23.4,3,4.7,19.3,38.3,2,0.5,3,0.667,0,0.0,0.667,0.644,1.7,0.7,0.0,0.0,0.3,0.7,2.3,1.7,2.3,0.0,92.6,115.4
140,381,Royce O'Neale,SF,30,TOT,79,24.7,2.7,6.8,0.397,2.0,5.3,0.37,0.7,1.5,0.496,0.542,0.3,0.4,0.686,0.8,4.0,4.8,2.8,0.7,0.6,0.9,2.2,7.7,116,Pho,F,31.0,4,26.1,10.8,8.3,0,0.0,4,0.25,18,0.333,0.455,0.455,5.0,4.8,1.0,0.3,0.0,0.5,9.8,6.0,10.8,4.4,103.5,108.8
141,382,Chuma Okeke,SF,25,ORL,47,9.2,0.9,2.4,0.357,0.5,1.7,0.28,0.4,0.6,0.567,0.46,0.1,0.1,0.571,0.4,1.3,1.7,0.4,0.2,0.1,0.3,0.4,2.3,140,Orl,F,25.8,2,4.9,15.4,0.0,1,1.0,1,1.0,2,0.5,0.833,0.872,3.0,0.0,0.5,0.0,0.0,0.0,3.0,3.5,3.5,0.0,181.1,119.9
142,383,Josh Okogie,SG,25,PHO,60,16.0,1.4,3.4,0.417,0.5,1.6,0.309,1.0,1.9,0.509,0.488,1.3,1.7,0.745,1.2,1.3,2.6,1.1,0.8,0.4,0.6,1.1,4.6,136,Pho,F,25.8,4,7.3,21.8,17.8,6,0.5,6,0.667,3,0.333,0.611,0.601,3.5,1.0,0.5,0.5,0.0,0.5,4.5,4.0,5.0,6.6,106.1,90.6
143,385,Isaac Okoro,SF,23,CLE,69,27.3,3.4,7.0,0.49,1.2,3.1,0.391,2.2,3.8,0.57,0.577,1.3,2.0,0.679,1.0,2.0,3.0,1.9,0.8,0.5,0.8,2.0,9.4,110,Cle,F,23.4,12,21.9,15.1,13.5,9,0.778,35,0.457,35,0.257,0.421,0.446,5.5,1.8,1.1,0.9,0.3,0.9,7.3,6.6,8.3,4.0,88.8,105.4
144,389,Kelly Oubre Jr.,SF,28,PHI,68,30.2,5.7,12.9,0.441,1.5,4.8,0.311,4.2,8.1,0.517,0.498,2.6,3.4,0.75,1.4,3.6,5.0,1.5,1.1,0.7,1.3,2.9,15.4,55,Phi,F-G,28.5,6,37.3,15.8,11.1,11,0.727,41,0.537,23,0.391,0.555,0.574,13.2,4.0,1.7,1.8,1.2,1.3,17.2,14.8,18.8,4.8,112.6,107.6
145,391,Cameron Payne,PG,29,TOT,78,16.7,2.7,6.2,0.432,1.3,3.4,0.39,1.3,2.7,0.486,0.541,0.7,0.9,0.866,0.3,1.2,1.5,2.6,0.5,0.1,0.8,1.6,7.4,108,Phi,G,29.8,5,12.2,21.1,10.7,0,0.0,7,0.286,18,0.444,0.56,0.56,5.6,1.2,1.4,0.2,0.8,0.6,6.8,7.0,8.2,6.9,109.7,102.1
146,397,Jalen Pickett,SG,24,DEN,27,4.5,0.6,1.3,0.429,0.3,0.9,0.36,0.2,0.4,0.6,0.557,0.1,0.1,0.75,0.0,0.5,0.5,0.8,0.1,0.0,0.3,0.5,1.6,170,Den,G,24.6,3,3.6,12.8,0.0,0,0.0,2,1.0,1,0.0,0.667,0.667,1.3,0.3,0.3,0.0,0.3,0.0,1.7,1.7,2.0,5.4,0.0,0.0
147,399,Mason Plumlee,C,33,LAC,46,14.7,1.9,3.3,0.569,0.0,0.1,0.0,1.9,3.2,0.592,0.569,1.5,2.2,0.707,1.3,3.8,5.1,1.2,0.3,0.4,0.8,1.5,5.3,138,Lac,F-C,34.3,6,11.0,16.2,9.9,8,0.625,18,0.389,0,0.0,0.389,0.441,3.2,3.3,0.7,0.5,0.3,0.3,6.5,3.8,7.2,7.1,106.8,94.6
148,406,Michael Porter Jr.,SF,25,DEN,81,31.7,6.4,13.3,0.484,2.7,6.8,0.397,3.7,6.5,0.575,0.586,1.1,1.4,0.836,1.3,5.7,7.0,1.5,0.5,0.7,1.1,1.8,16.7,40,Den,F,26.0,12,36.9,18.2,11.0,26,0.769,65,0.538,81,0.407,0.579,0.6,15.8,6.8,1.1,0.9,0.8,1.5,22.6,16.8,23.7,5.3,110.1,110.1
149,408,Bobby Portis,PF,28,MIL,82,24.5,5.7,11.2,0.508,1.2,3.0,0.407,4.5,8.2,0.545,0.562,1.2,1.5,0.79,1.7,5.7,7.4,1.3,0.8,0.4,1.1,2.3,13.8,37,Mil,F,29.3,6,31.2,26.0,9.0,13,0.615,79,0.519,12,0.25,0.5,0.512,16.5,11.3,1.0,0.5,0.2,1.5,27.8,17.5,28.8,7.3,102.5,108.7
150,411,Dwight Powell,C,32,DAL,63,13.3,1.1,1.7,0.679,0.0,0.0,0.333,1.1,1.6,0.689,0.684,1.0,1.4,0.708,1.5,1.9,3.4,1.3,0.4,0.3,0.5,1.8,3.3,192,Dal,F-C,32.9,11,3.1,10.3,37.8,6,0.667,3,0.333,0,0.0,0.333,0.532,0.5,0.7,0.1,0.1,0.0,0.2,1.3,0.6,1.4,4.2,0.0,0.0
151,412,Norman Powell,SG,30,LAC,76,26.2,4.9,10.1,0.486,2.2,5.1,0.435,2.7,5.1,0.536,0.594,1.9,2.3,0.831,0.2,2.4,2.6,1.1,0.6,0.3,0.9,1.8,13.9,57,Lac,G,31.1,6,29.8,19.0,10.2,15,0.8,32,0.406,29,0.448,0.533,0.57,12.8,2.8,0.3,0.5,0.0,1.2,15.7,13.2,16.0,3.0,107.2,109.6
152,415,Taurean Prince,PF,29,LAL,78,27.0,3.2,7.3,0.442,1.8,4.6,0.396,1.4,2.8,0.519,0.566,0.6,0.9,0.735,0.3,2.7,2.9,1.5,0.7,0.4,0.9,1.9,8.9,91,Lal,F,30.2,5,22.2,14.0,3.3,8,1.0,12,0.583,17,0.294,0.5,0.569,7.4,2.4,0.6,0.2,0.4,0.2,9.8,8.0,10.4,4.0,117.1,111.8
153,416,Payton Pritchard,PG,26,BOS,82,22.3,3.6,7.7,0.468,1.8,4.7,0.385,1.8,3.1,0.593,0.583,0.6,0.7,0.821,0.9,2.4,3.2,3.4,0.5,0.1,0.7,1.3,9.6,96,Bos,G,26.4,17,19.5,15.0,11.7,12,0.917,37,0.459,53,0.396,0.539,0.567,6.4,2.0,2.2,0.2,0.0,0.7,8.4,8.5,10.5,6.2,121.3,111.4
154,417,Olivier-Maxence Prosper,PF,21,DAL,40,8.4,1.0,2.6,0.385,0.3,1.1,0.289,0.7,1.5,0.458,0.447,0.7,1.0,0.683,0.6,1.4,2.0,0.6,0.2,0.1,0.2,0.5,3.0,208,Dal,F,21.9,1,0.9,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,419,Neemias Queta,C,24,BOS,28,11.9,2.4,3.7,0.644,0.0,0.0,0.0,2.4,3.7,0.644,0.644,0.7,1.0,0.714,1.9,2.5,4.4,0.7,0.5,0.8,0.5,1.8,5.5,181,Bos,C,24.9,2,4.0,11.8,0.0,0,0.0,2,0.5,0,0.0,0.5,0.5,1.0,1.5,0.0,0.0,0.0,0.0,2.5,1.0,2.5,0.0,124.4,113.2
156,425,Austin Reaves,SG,25,LAL,82,32.1,5.6,11.5,0.486,1.9,5.1,0.367,3.7,6.3,0.583,0.568,2.8,3.3,0.853,0.7,3.6,4.3,5.5,0.8,0.3,2.1,1.9,15.9,35,Lal,G,26.0,5,34.8,20.0,5.9,19,0.895,37,0.622,26,0.269,0.532,0.589,16.8,3.8,3.6,1.4,0.6,0.8,20.6,20.4,24.2,7.0,123.7,114.2
157,427,Paul Reed,C,24,PHI,82,19.4,3.2,5.9,0.54,0.3,0.7,0.368,2.9,5.2,0.563,0.561,0.7,1.0,0.718,2.4,3.6,6.0,1.3,0.8,1.0,0.8,2.4,7.3,167,Phi,F,25.0,6,7.2,13.8,24.5,2,0.5,9,0.444,0,0.0,0.444,0.455,1.5,2.7,0.3,0.2,0.5,0.5,4.2,1.8,4.5,5.9,105.8,99.7
158,428,Naz Reid,C,24,MIN,81,24.2,5.0,10.5,0.477,2.1,5.0,0.414,2.9,5.5,0.535,0.576,1.3,1.8,0.736,0.9,4.3,5.2,1.3,0.8,0.9,1.4,2.1,13.5,66,Min,C-F,24.8,16,22.5,21.4,9.0,31,0.71,73,0.548,69,0.362,0.546,0.569,11.1,3.7,1.0,0.5,0.8,0.9,14.8,12.1,15.8,6.1,109.5,104.2
159,432,Duncan Robinson,SF,29,MIA,68,28.0,4.5,9.9,0.45,2.8,7.0,0.395,1.7,3.0,0.579,0.589,1.2,1.3,0.889,0.2,2.3,2.5,2.8,0.7,0.2,1.4,2.4,12.9,148,Mia,F,30.1,5,11.9,17.2,23.8,0,0.0,3,0.667,13,0.231,0.406,0.406,2.6,1.0,1.2,0.4,0.0,1.0,3.6,3.8,4.8,4.9,74.6,105.5
160,434,Mitchell Robinson,C,25,NYK,31,24.8,2.4,4.1,0.575,0.0,0.0,0.0,2.4,4.1,0.575,0.575,0.9,2.1,0.409,4.6,3.9,8.5,0.6,1.2,1.1,0.8,1.8,5.6,145,Nyk,C,26.2,6,19.1,7.9,17.5,8,0.375,14,0.5,0,0.0,0.5,0.485,2.8,6.8,0.5,1.0,1.2,0.5,9.7,3.3,10.2,4.4,123.2,100.7
161,435,Orlando Robinson,C,23,MIA,36,8.4,1.0,2.0,0.5,0.2,0.4,0.533,0.8,1.6,0.491,0.556,0.5,0.7,0.76,0.8,1.6,2.3,0.9,0.2,0.2,0.5,1.0,2.8,204,Mia,C,23.9,1,2.5,19.6,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
162,436,Jeremiah Robinson-Earl,PF,23,NOP,39,8.6,1.2,2.4,0.474,0.3,1.0,0.333,0.8,1.4,0.571,0.542,0.3,0.4,0.75,0.6,1.4,1.9,0.5,0.3,0.1,0.4,0.6,2.9,156,Nor,F,23.6,1,5.3,23.8,0.0,2,0.0,2,0.5,0,0.0,0.5,0.347,2.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,9.5,99.9,122.7
163,437,David Roddy,PF,22,TOT,65,18.1,2.5,6.3,0.403,0.7,2.5,0.293,1.8,3.8,0.478,0.462,0.7,1.0,0.691,0.8,2.4,3.2,1.2,0.4,0.2,0.9,1.1,6.5,209,Pho,F,23.2,2,1.4,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,442,D'Angelo Russell,PG,27,LAL,76,32.7,6.5,14.2,0.456,3.0,7.2,0.415,3.5,7.0,0.497,0.56,2.1,2.5,0.828,0.4,2.7,3.1,6.3,0.9,0.5,2.1,2.1,18.0,51,Lal,G,28.3,5,36.9,20.7,10.9,2,0.5,29,0.483,44,0.318,0.479,0.481,14.2,2.8,4.2,0.8,0.2,1.8,17.0,18.4,21.2,6.0,95.6,117.0
165,443,Matt Ryan,SF,26,NOP,28,13.9,1.8,4.0,0.434,1.5,3.3,0.451,0.3,0.8,0.364,0.615,0.5,0.5,0.929,0.2,1.2,1.4,0.6,0.2,0.0,0.7,1.1,5.4,202,Nor,F,27.2,1,2.5,35.0,50.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
166,461,Ben Sheppard,SG,22,IND,57,14.3,1.6,4.0,0.393,0.9,2.7,0.314,0.7,1.3,0.562,0.5,0.4,0.5,0.885,0.3,1.3,1.6,0.9,0.6,0.0,0.3,1.5,4.4,113,Ind,G,22.9,17,19.7,11.6,13.4,9,0.778,21,0.571,50,0.38,0.57,0.587,5.2,3.0,1.0,0.5,0.1,0.6,8.2,6.2,9.2,5.1,112.8,113.5
167,462,Pascal Siakam,PF,29,TOT,80,33.2,8.5,15.9,0.536,1.1,3.1,0.346,7.5,12.8,0.581,0.569,3.6,5.0,0.732,1.7,5.3,7.1,4.3,0.8,0.3,1.8,2.4,21.7,20,Ind,F,30.2,17,35.4,25.3,6.1,63,0.619,243,0.588,47,0.298,0.566,0.578,21.6,7.5,3.8,0.8,0.4,1.1,29.1,25.4,32.9,9.6,120.4,114.8
168,467,Jericho Sims,C,25,NYK,45,13.0,0.8,1.2,0.691,0.0,0.0,0.0,0.8,1.2,0.691,0.691,0.4,0.5,0.667,1.2,2.0,3.3,0.6,0.2,0.4,0.4,1.0,2.0,169,Nyk,C,25.6,5,5.5,6.0,0.0,4,0.75,2,1.0,0,0.0,1.0,0.931,1.4,1.6,0.2,0.4,0.2,0.0,3.0,1.6,3.2,5.6,194.7,109.4
169,476,Jalen Smith,C,23,IND,61,17.2,3.8,6.5,0.592,1.0,2.4,0.424,2.8,4.1,0.689,0.67,1.2,1.7,0.692,1.8,3.7,5.5,1.0,0.3,0.6,0.7,2.0,9.9,157,Ind,F-C,24.2,7,6.0,16.6,32.6,8,0.625,4,0.25,4,0.5,0.5,0.564,1.9,2.0,0.3,0.3,0.1,0.6,3.9,2.1,4.1,7.0,109.0,100.4
170,481,Jaden Springer,SG,21,TOT,49,10.3,1.2,3.0,0.399,0.2,1.0,0.208,1.0,2.0,0.49,0.432,0.7,0.9,0.833,0.7,0.9,1.6,0.9,0.7,0.3,0.7,1.3,3.3,174,Bos,G,21.7,3,4.7,13.3,50.0,0,0.0,2,1.0,0,0.0,1.0,1.0,1.3,0.3,0.3,0.0,0.3,0.7,1.7,1.7,2.0,4.2,89.5,110.4
171,484,Julian Strawther,SF,21,DEN,50,10.9,1.6,4.4,0.369,0.8,2.8,0.297,0.8,1.7,0.488,0.462,0.4,0.6,0.71,0.1,1.1,1.2,0.9,0.3,0.1,0.5,1.1,4.5,152,Den,G,22.2,3,5.3,25.5,13.9,4,0.5,2,0.5,4,0.25,0.417,0.451,2.3,0.7,0.0,0.3,0.0,0.3,3.0,2.3,3.0,0.0,82.1,94.2
172,485,Max Strus,SF,27,CLE,70,32.0,4.3,10.4,0.418,2.4,6.8,0.351,1.9,3.6,0.546,0.533,1.1,1.4,0.794,0.9,3.9,4.8,4.0,0.9,0.4,1.6,2.4,12.2,73,Cle,F,28.2,12,36.1,12.9,12.7,5,1.0,31,0.548,72,0.347,0.529,0.542,9.5,5.3,2.9,0.8,0.0,1.3,14.8,12.4,17.8,5.8,108.0,106.9
173,486,Jalen Suggs,SG,22,ORL,75,27.0,4.5,9.5,0.471,2.0,5.1,0.397,2.4,4.4,0.556,0.578,1.6,2.1,0.756,0.6,2.4,3.1,2.7,1.4,0.6,1.8,2.7,12.6,46,Orl,G,23.0,7,33.2,21.8,19.5,30,0.767,34,0.559,48,0.292,0.488,0.541,14.7,5.1,3.3,1.3,0.4,2.9,19.9,18.0,23.1,7.6,103.4,106.0
174,489,Jayson Tatum,PF,25,BOS,74,35.7,9.1,19.3,0.471,3.1,8.2,0.376,6.0,11.0,0.542,0.552,5.6,6.7,0.833,0.9,7.2,8.1,4.9,1.0,0.6,2.5,2.0,26.9,15,Bos,F,26.3,17,41.0,29.2,11.7,123,0.846,211,0.507,127,0.291,0.481,0.547,25.2,10.1,6.2,1.0,0.6,2.6,35.3,31.4,41.5,11.4,113.6,104.9
175,493,Daniel Theis,C,31,TOT,60,16.9,2.6,4.9,0.532,0.4,1.2,0.366,2.2,3.7,0.586,0.577,0.6,0.8,0.76,1.4,2.7,4.1,1.0,0.4,0.9,0.7,2.1,6.3,139,Lac,F-C,32.2,1,4.4,10.4,0.0,0,0.0,0,0.0,1,1.0,1.5,1.5,3.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,0.0,300.0,118.6
176,495,Isaiah Thomas,PG,34,PHO,6,3.2,0.5,1.7,0.3,0.3,0.7,0.5,0.2,1.0,0.167,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.3,213,Pho,G,35.3,1,3.6,39.1,33.3,0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
177,499,Tristan Thompson,C,32,CLE,49,11.2,1.5,2.4,0.608,0.0,0.0,0.0,1.5,2.4,0.613,0.608,0.3,1.1,0.288,1.5,2.1,3.6,1.0,0.2,0.3,0.6,1.2,3.3,165,Cle,C-F,33.3,10,8.7,10.1,11.0,2,0.5,16,0.438,0,0.0,0.438,0.444,1.5,2.0,1.0,0.1,0.5,0.2,3.5,2.5,4.5,6.6,121.1,106.8
178,504,Obi Toppin,PF,25,IND,82,21.1,4.0,7.1,0.573,1.2,3.1,0.403,2.8,4.0,0.706,0.661,0.9,1.2,0.77,1.0,2.9,3.9,1.6,0.6,0.5,0.8,1.7,10.3,68,Ind,F,26.3,17,20.2,21.1,9.4,25,0.76,79,0.671,56,0.357,0.615,0.634,10.9,4.4,1.7,0.4,0.4,0.8,15.3,12.6,17.0,8.6,121.6,115.7
179,506,Karl-Anthony Towns,PF,28,MIN,62,32.7,7.7,15.3,0.504,2.2,5.3,0.416,5.5,10.1,0.55,0.575,4.1,4.7,0.873,1.5,6.8,8.3,3.0,0.7,0.7,2.9,3.3,21.8,24,Min,F,28.6,16,32.6,25.2,10.4,69,0.855,149,0.523,83,0.361,0.53,0.581,19.1,9.0,2.6,0.8,0.2,1.7,28.1,21.7,30.7,9.4,116.8,100.3
180,509,P.J. Tucker,PF,38,TOT,31,15.7,0.6,1.6,0.36,0.4,1.1,0.371,0.2,0.5,0.333,0.49,0.1,0.1,1.0,0.9,1.8,2.7,0.5,0.5,0.2,0.3,1.7,1.7,109,Lac,F,39.1,2,15.3,13.4,33.3,0,0.0,2,0.5,4,0.75,0.917,0.917,5.5,1.5,0.0,0.0,0.0,1.5,7.0,5.5,7.0,0.0,114.5,103.6
181,510,Myles Turner,C,27,IND,77,27.0,6.2,11.8,0.524,1.5,4.2,0.358,4.7,7.6,0.615,0.587,3.2,4.1,0.773,1.5,5.5,6.9,1.3,0.5,1.9,1.4,3.0,17.1,32,Ind,C,28.2,17,32.4,21.4,13.8,50,0.76,119,0.563,86,0.453,0.612,0.637,17.0,6.6,2.1,0.5,1.5,1.9,23.6,19.1,25.8,7.6,116.7,114.6
182,511,Hunter Tyson,PF,23,DEN,18,2.7,0.4,1.1,0.4,0.2,0.8,0.286,0.2,0.3,0.667,0.5,0.0,0.0,0.0,0.1,0.4,0.5,0.1,0.1,0.0,0.1,0.6,1.1,196,Den,F,24.0,3,4.6,19.7,19.2,2,0.5,1,0.0,3,0.0,0.0,0.102,0.3,1.0,0.3,0.0,0.0,0.3,1.3,0.7,1.7,3.9,42.8,119.3
183,518,Gabe Vincent,PG,27,LAL,11,19.8,1.4,4.5,0.306,0.3,2.5,0.107,1.1,1.9,0.571,0.337,0.1,0.2,0.5,0.4,0.5,0.8,1.9,0.8,0.0,0.5,1.7,3.1,168,Lal,G,28.0,5,13.8,10.0,20.0,0,0.0,5,0.4,7,0.143,0.292,0.292,1.4,1.6,0.6,0.4,0.0,0.6,3.0,2.0,3.6,3.2,62.4,107.0
184,521,Dean Wade,PF,27,CLE,54,20.5,1.8,4.3,0.414,1.5,3.7,0.391,0.3,0.6,0.567,0.584,0.4,0.5,0.769,0.7,3.4,4.0,0.8,0.7,0.5,0.4,1.7,5.4,130,Cle,F,27.6,3,21.0,11.1,13.3,0,0.0,3,0.333,10,0.3,0.423,0.423,3.7,2.0,1.7,0.3,0.7,0.7,5.7,5.3,7.3,4.4,92.6,112.2
